Code;Popularity;NameRu;NameEn;NameUa;CountryCode;Latitude;Longitude;GMT
ABZ;32;Абердин;Aberdeen;Абердін;GB;57.1333;-2.1;+0:00
ACA;0;Акапулько;Acapulco;Акапулько;MX;16.8634;-99.8901;-6:00
ACC;0;Аккра;Accra;Аккра;GH;5.55;-0.216667;+0:00
ACD;0;Аканди;Acandi;Аканді;CO;8.53333;-77.2333;
ACE;584;Ланцарот;Lanzarote;Ланцарот;ES;29;-13.6667;+0:00
ACH;0;Альтенрейн;Altenrhein;Альтенрейн;CH;47.4833;9.55;+1:00
ACI;0;Олдерней;Alderney;Олдерней;GB;49.7333;-2.25;+0:00
ACK;0;Нантакет;Nantucket;Нантакет;US;41.2835;-70.0995;-5:00
ACO;0;Аскона;Ascona;Аскона;CH;46.1545;8.77327;+1:00
ACS;0;Ачинск;Achinsk;Ачинск;RU;56.2667;90.5667;+8:00
ACT;0;Вако;Waco;Вако;US;31.5493;-97.1467;-6:00
ACV;0;Юрека;Eureka;Юрека;US;40.8021;-124.164;-8:00
ACX;0;Синъи;Xingyi;Сін'і;CN;25.05;104.983;+8:00
ADA;0;Адана;Adana;Адана;TR;37.0017;35.3289;+2:00
ADD;0;Аддис-Абеба;Addis Ababa;Аддіс-Абеба;ET;9.03333;38.7;+3:00
ADE;0;Аден;Aden;Аден;YE;12.7794;45.0367;+3:00
ADG;0;Адриан;Adrian;Адріан;US;41.8975;-84.0372;-5:00
ADH;0;Алдан;Aldan;Алдан;RU;58.6;125.4;+10:00
ADK;10;Адак-Айленд;Adak Island;Адак-Айленд;US;51.7844;-176.64;-10:00
ADL;24;Аделаида;Adelaide;Аделаїда;AU;-34.9333;138.6;+10:30
ADM;0;Ардмор;Ardmore;Ардмор;US;34.1743;-97.1436;-6:00
ADQ;0;Кодьяк;Kodiak;Кодьяк;US;57.79;-152.407;-9:00
ADT;0;Ада Оклахома;Ada OK;Ада Оклахома;US;34.8;-96.6667;-6:00
ADU;0;Ардабил;Ardabil;Ардабіл;IR;38.2494;48.3014;+3:30
ADV;0;Андовер;Andover;Андовер;GB;51.2167;-1.46667;
ADW;0;Кэмп-Спрингс;Camp Springs;Кемп-Спрінгс;US;38.804;-76.9066;-5:00
ADX;0;Сэнт-Эндрюс;St Andrews;Сент-Ендрюс;GB;56.3333;-2.78333;+0:00
ADZ;0;Сан-Андрес;San Andres;Сан-Андрес;CO;12.5847;-81.7006;-5:00
AEA;0;Абемама;Abemama;Абемама;KI;0.483333;173.85;
AEI;0;Альгесирас;Algeciras;Альгесірас;ES;36.1275;-5.45389;+1:00
AEL;0;Альберт-Ли;Albert Lea;Альберт-Лі;US;43.648;-93.3683;-6:00
AEO;0;Аюн-эль-Атрус;Aioun Atrouss;Аюн-ель-Атрус;MR;16.7092;-9.63556;
AER;196;Сочи;Sochi;Сочі;RU;43.6;39.7303;+4:00
AES;0;Олесунд;Aalesund;Олесунд;NO;62.4667;6.15;+1:00
AET;0;Аллакакет;Allakaket;Аллакакет;US;66.5656;-152.646;
AEX;0;Александрия;Alexandria;Олександрія;US;31.3333;-92.55;-6:00
AEY;2;Акурейри;Akureyri;Акурейрі;IS;65.6667;-18.1;+0:00
AFA;0;Сан-Рафаэль;San Rafael;Сан-Рафаель;AR;-34.6;-68.3333;-2:00
AFK;0;Ампара;Ampara;Ампара;LK;7.28333;81.6667;-6:00
AFL;0;Алта-Флореста;Alta Floresta;Алта-Флореста;BR;-9.9;-55.9;-3:00
AFS;0;Зарафшан;Zarafsan;Зарафшан;UZ;41.6136;64.2331;
AGA;0;Агадир;Agadir;Агадір;MA;30.4;-9.6;+0:00
AGB;0;Аугсбург;Augsburg;Аугсбург;DE;48.3667;10.8833;+1:00
AGE;0;Ванегероге;Wangerooge;Ванегероге;DE;53.8;7.9;+1:00
AGF;0;Аген;Agen;Аген;FR;44.2;0.633333;+1:00
AGH;0;Ангелхольм;Angelholm;Ангелхольм;SE;56.25;12.8667;+1:00
AGJ;0;Агуни;Aguni;Агуні;JP;26.5886;127.226;
AGL;0;Ванигела;Wanigela;Ванігела;PG;-10.05;148.2;
AGN;0;Ангун;Angoon;Ангун;US;57.5033;-134.584;-9:00
AGO;0;Магнолиа;Magnolia;Магноліа;US;33.2671;-93.2393;-6:00
AGP;0;Малага;Malaga;Малага;ES;36.7202;-4.42034;+1:00
AGR;0;Агра;Agra;Агра;IN;27.1833;78.0167;+5:30
AGS;0;Аугуста;Augusta;Аугуста;US;33.3664;-81.9669;-5:00
AGT;0;Сиудад-дель-Эсте;Ciudad Del Este;Сіудад-дель-Есте;PY;-25.5167;-54.6167;-3:00
AGU;0;Агуаскалиентес;Aguascalientes;Агуаскалієнтес;MX;21.8833;-102.3;-6:00
AGV;0;Акаригуа;Acarigua;Акарігуа;VE;9.55972;-69.2019;
AGZ;0;Аггенейс;Aggeneys;Аггенейс;ZA;-29.2;18.85;
AHB;0;Абха;Abha;Абха;SA;18.2164;42.5053;+3:00
AHI;0;Амахаи;Amahai;Амахаї;ID;-3.33333;128.917;+9:00
AHN;0;Атенс;Athens;Атенс;US;33.9483;-83.3269;-5:00
AHO;0;Альгеро;Alghero;Альгеро;IT;40.5589;8.31806;+1:00
AHT;0;Амчитка;Amchitka;Амчітка;US;51.5672;178.878;
AHU;0;Аль-Хосейма;Al Hoceima;Аль-Хосейма;MA;35.24;-3.93;+0:00
AIA;0;Элайенс;Alliance;Елайенс;US;40.9153;-81.1059;-7:00
AID;0;Андерсон;Anderson;Андерсон;US;40.1667;-85.6833;-5:00
AIE;0;Aiome;Aiome;Айоме;PG;-5.13333;144.733;
AIF;0;Ассиз;Assis;Ассіз;BR;-22.6617;-50.4122;
AIK;0;Эйкен;Aiken;Ейкен;US;33.5604;-81.7196;-5:00
AIN;0;Уэйнрайт;Wainwright;Уейнрайт;US;70.6333;-160.033;-9:00
AIS;0;о. Арорае;Arorae Island;о. Арорае;KI;-2.65;176.833;
AIT;0;Аитутаки;Aitutaki;Аітутакі;CK;-18.8583;-159.792;-10:00
AIU;0;о. Атиу;Atiu Island;о. Атіу;CK;-19.9917;-158.119;
AIY;0;Атлантик-Сити;Atlantic City;Атлантік-Сіті;US;39.3643;-74.4229;-5:00
AIZ;0;Lake Of The Ozarks;Lake Of The Ozarks;Lake Of The Ozarks;US;38.0983;-92.5472;-6:00
AJA;0;Аяччо;Ajaccio;Аяччо;FR;41.9167;8.73333;+1:00
AJF;0;Аль-Жуф;Al Jouf;Аль-Жуф;SA;29.9833;40.2;
AJL;0;Айзавл;Aizawl;Айзавл;IN;23.7333;92.7167;
AJN;0;Анжуан;Anjouan;Анжуан;KM;-12.25;44.4167;
AJR;0;Арвидсьяур;Arvidsjaur;Арвідсьяур;SE;65.5833;19.1667;+1:00
AJU;0;Аракайю;Aracaju;Аракайю;BR;-10.9111;-37.0717;-3:00
AKF;0;Kufrah;Kufrah;Kufrah;LY;24.2;23.3333;
AKG;0;Ангуганак;Anguganak;Ангуганак;PG;-3.58333;142.217;
AKI;0;Акиак;Akiak;Акіак;US;60.9122;-161.214;
AKJ;0;Асахикава;Asahikawa;Асахікава;JP;43.7678;142.37;+9:00
AKK;0;Ахиок;Akhiok;Ахіок;US;56.9456;-154.17;
AKL;8;Окленд;Auckland;Окленд;NZ;-36.8667;174.767;+13:00
AKN;0;Кинг Салмон;King Salmon;Кінг Салмон;US;58.6883;-156.661;-9:00
AKP;0;Анактувук-Пасс;Anaktuvuk Pass;Анактувук-Пасс;US;68.1433;-151.736;
AKR;0;Акуре;Akure;Акуре;NG;7.25;5.2;
AKS;0;Акуи;Akui;Акуі;SB;-8.69778;160.681;
AKU;0;Аксу;Aksu;Аксу;CN;41.1231;80.2644;
AKV;0;Акуливик;Akulivik;Акулівік;CA;60.8006;-78.1994;-5:00
AKX;0;Актюбинск;Aqtobe;Актюбінськ;KZ;50.2797;57.2072;+5:00
AKY;0;Акьяб;Akyab;Акьяб;MM;20.15;92.9;
ALA;88;Алматы;Almaty;Алмати;KZ;43.25;76.95;+6:00
ALB;0;Олбани;Albany;Олбані;US;42.7458;-73.8053;-5:00
ALC;16;Аликанте;Alicante;Аліканте;ES;38.3452;-0.481489;+1:00
ALE;0;Альпайн;Alpine;Альпайн;US;32.8351;-116.766;-6:00
ALF;0;Алта;Alta;Алта;NO;69.9667;23.2417;+1:00
ALG;116;Алжир;Algiers;Алжир;DZ;36.7631;3.05056;+1:00
ALH;0;Олбани;Albany;Олбані;AU;-35.0169;117.892;+9:00
ALJ;0;Александер-бей;Alexander Bay;Александер-бей;ZA;-28.5672;16.5364;+2:00
ALL;0;Альбенга;Albenga;Альбенга;IT;44.05;8.21829;+1:00
ALM;0;Аламогордо;Alamogordo;Аламогордо;US;32.8995;-105.96;-7:00
ALN;0;Alton;Alton;Алтон;US;38.8906;-90.1843;
ALO;0;Ватерлоо;Waterloo;Ватерлоо;US;42.5561;-92.3997;-6:00
ALP;0;Алеппо;Aleppo;Алеппо;SY;36.2028;37.1586;+2:00
ALR;0;Alexandra;Alexandra;Alexandra;NZ;-45.2139;169.369;
ALS;0;Аламоса;Alamosa;Аламоса;US;37.4694;-105.87;-7:00
ALU;0;Алула;Alula;Алула;SO;11.9667;50.75;
ALV;0;Андорра-ла-Велла;Andorra La Vella;Андорра-ла-Велла;AD;42.508;1.52298;+1:00
ALW;0;Валла-Валла;Walla Walla;Валла-Валла;US;46.0646;-118.343;-8:00
ALX;0;Александер-сити;Alexander City;Олександер-сіті;US;32.944;-85.9539;-6:00
ALY;0;Александрия;Alexandria;Олександрія;EG;31.1981;29.9192;+2:00
ALZ;0;Алитак;Alitak;Алітак;US;56.8958;-154.246;
AMA;0;Амарилло;Amarillo;Амарілло;US;35.222;-101.831;-6:00
AMD;0;Ахмедабад;Ahmedabad;Ахмедабад;IN;23.0333;72.6167;+5:30
AMH;0;Арба-Минч;Arba Mintch;Арба-Мінч;ET;6.03333;37.55;
AMI;0;Матарам;Mataram;Матарам;ID;-8.58333;116.117;+8:00
AML;0;Пуэрто-Армуэллес;Puerto Armuelles;Пуерто-Армуеллєс;PA;8.28333;-82.8667;
AMM;4;Амман;Amman;Амман;JO;31.95;35.9333;+2:00
AMP;0;Ампанихи;Ampanihy;Ампаніхі;MG;-24.7;44.75;
AMQ;0;Амбон;Ambon;Амбон;ID;-3.71667;128.2;+9:00
AMS;1029;Амстердам;Amsterdam;Амстердам;NL;52.3731;4.8999;+1:00
AMU;0;Аманаб;Amanab;Аманаб;PG;-3.58333;141.217;
AMV;0;Амдерма;Amderma;Амдерма;RU;69.7667;61.55;+4:00
AMW;0;Амес;Ames;Амес;US;42.0347;-93.6199;-6:00
AMY;0;Амбатомаинти;Ambatomainty;Амбатомаінті;MG;-17.9;46.4167;
ANA;0;Анахайм;Anaheim;Анахайм;US;33.8353;-117.915;
ANB;0;Аннистон;Anniston;Анністон;US;33.6598;-85.8316;-6:00
ANC;16;Анкоридж;Anchorage;Анкорідж;US;61.2181;-149.9;-9:00
AND;0;Андерсон;Anderson;Андерсон;US;34.4936;-82.71;-5:00
ANE;0;Ангерс;Angers;Ангерс;FR;47.4667;-0.55;+1:00
ANF;0;Антофагаста;Antofagasta;Антофагаста;CL;-23.65;-70.4;-3:00
ANG;0;Ангулем;Angouleme;Ангулем;FR;45.65;0.15;+1:00
ANI;0;Аниак;Aniak;Аніак;US;61.5783;-159.522;-9:00
ANJ;0;Занага;Zanaga;Занага;CG;-2.85028;13.8261;
ANK;18;Анкара;Ankara;Анкара;TR;39.9272;32.8644;+2:00
ANM;0;Анталаха;Antalaha;Анталаха;MG;-14.8833;50.2833;
ANP;0;Аннаполис;Annapolis;Аннаполіс;US;38.9833;-76.5;-5:00
ANS;0;Андахуайлас;Andahuaylas;Андахуайлас;PE;-13.6556;-73.3872;
ANT;0;St Anton;St Anton;Сент Антон;AT;47.15;10.2833;
ANU;0;Антигуа;Antigua;Антігуа;AG;17.05;-61.8;-4:00
ANV;0;Анвик;Anvik;Анвік;US;62.6561;-160.207;
ANW;0;Эйнсуорт;Ainsworth;Ейнсуорт;US;42.55;-99.8626;-6:00
ANX;0;Анденес;Andenes;Анденес;NO;69.3188;16.1279;+1:00
AOC;0;Альтенбург;Altenburg;Альтенбург;DE;50.9833;12.45;+1:00
AOG;0;Аншан;Anshan;Аншан;CN;41.1236;122.99;
AOH;0;Лима;Lima;Ліма;US;40.7667;-84.1;-5:00
AOI;0;Анкона;Ancona;Анкона;IT;43.5982;13.5101;+1:00
AOJ;0;Аомори;Aomori;Аоморі;JP;40.8211;140.751;+9:00
AOK;0;Карпатос;Karpathos;Карпатос;GR;35.5;27.2333;+2:00
AOL;0;Пасо де лос Либрес;Paso De Los Libres;Пасо де лос Лібрес;AR;-29.7167;-57.0833;-2:00
AOO;0;Алтуна;Altoona;Алтуна;US;40.5187;-78.3947;-5:00
AOR;0;Алор-Сетар;Alor Setar;Алор-Сетар;MY;6.11667;100.367;+8:00
AOS;0;Amook Bay;Amook Bay;Амоок Бей;US;57.4519;-153.821;
AOT;2;Аоста;Aosta;Аоста;IT;45.7374;7.3166;+1:00
APC;0;Напа;Napa;Напа;US;38.2971;-122.286;-8:00
APF;0;Неаполь;Naples;Неапіль;US;26.1528;-81.7753;-5:00
APK;0;Апатаки;Apataki;Апатакі;PF;-15.4167;-146.083;
APL;0;Нампула;Nampula;Нампула;MZ;-15.1197;39.2647;+2:00
APN;0;Альпена;Alpena;Альпена;US;45.0617;-83.4328;-5:00
APO;0;Апартадо;Apartado;Апартадо;CO;7.88556;-76.6347;-5:00
APS;0;Анаполис;Anapolis;Анаполіс;BR;-16.3267;-48.9528;-2:00
APW;4;Апиа;Apia;Апіа;WS;-13.8333;-171.733;-11:00
APZ;0;Запала;Zapala;Запала;AR;-38.9;-70.0667;
AQA;0;Араракуара;Araraquara;Араракуара;BR;-21.0833;-47.3167;-2:00
AQG;0;Аньцин;Anqing;Аньцін;CN;30.5092;117.051;+8:00
AQI;0;Кайсумах;Qaisumah;Кайсумах;SA;28.3097;46.1275;+3:00
AQJ;2;Акаба;Aqaba;Акаба;JO;29.5267;35.0078;+2:00
AQP;0;Арекуипа;Arequipa;Арекуіпа;PE;-16.3989;-71.535;-5:00
ARB;0;Анн-Арбор;Ann Arbor;Анн-Арбор;US;42.2776;-83.7409;-5:00
ARD;0;Алор-айленд;Alor Island;Алор-айленд;ID;-8.68333;124.533;
ARE;0;Аресибо;Arecibo;Аресібо;US;18.45;-66.6758;
ARH;28;Архангельск;Arkhangelsk;Архангельськ;RU;64.54;40.54;+4:00
ARI;0;Арика;Arica;Аріка;CL;-18.4833;-70.3333;-3:00
ARK;0;Аруша;Arusha;Аруша;TZ;-3.36667;36.6833;+3:00
ARL;0;Арли;Arly;Арлі;BF;11.5833;1.46667;
ARM;4;Армидейл;Armidale;Армідейл;AU;-30.5167;151.65;+11:00
ARP;0;Aragip;Aragip;Арагіп;PG;-9.8;149.5;
ARR;0;Alto Rio Senguerr;Alto Rio Senguerr;Alto Rio Senguerr;AR;-45.0333;-70.8333;
ART;0;Уотертаун;Watertown;Уотертаун;US;43.9908;-76.0214;-5:00
ARU;0;Аракатуба;Aracatuba;Аракатуба;BR;-21.2089;-50.4328;-2:00
ARV;0;Миноква;Minocqua;Міноква;US;45.8713;-89.711;-6:00
ARW;0;Арад;Arad;Арад;RO;46.1833;21.3167;+2:00
ARX;0;Эсбери-Парк;Asbury Park;Есбері-Парк;US;40.2204;-74.0121;
ARY;0;Арарат;Ararat;Арарат;AU;-37.3167;143;+11:00
ARZ;0;Н Зето;N Zeto;Н Зето;AO;-7.5;13.5;
ASA;0;Ассаб;Assab;Ассаб;ER;13.0092;42.7394;
ASB;4;Ашхабад;Ashgabat;Ашгабад;TM;37.95;58.3833;+5:00
ASD;0;Эндрос-Таун;Andros Town;Ендрос-Таун;BS;24.7;-77.7667;-5:00
ASE;6;Аспен;Aspen;Аспен;US;39.1911;-106.818;-7:00
ASF;10;Астрахань;Astrakhan;Астрахань;RU;46.34;48.04;+4:00
ASH;0;Нашуа;Nashua;Нашуа;US;42.7654;-71.4676;-5:00
ASI;0;Джоржтаун;Georgetown;Джоржтаун;SH;-7.96667;-14.4;
ASJ;0;Амами О Сима;Amami O Shima;Амамі О Сіма;JP;28.4169;129.697;+9:00
ASK;0;Ямосукро;Yamoussouro;Ямосукро;CI;6.81667;-5.28333;+0:00
ASL;0;Маршалл;Marshall;Маршалл;US;32.55;-94.3833;-6:00
ASM;0;Асмэра;Asmara;Асмера;ER;15.3333;38.9333;+3:00
ASO;0;Асоса;Asosa;Асоса;ET;10.0667;34.5333;
ASP;6;Элис Спрингз;Alice Springs;Еліс Спрінгз;AU;-23.7;133.883;+9:30
ASR;2;Кайсери;Kayseri;Кайсері;TR;38.7322;35.4853;+2:00
AST;0;Астория;Astoria;Асторія;US;46.1879;-123.831;-8:00
ASU;6;Асунсьон;Asuncion;Асунсьон;PY;-25.2667;-57.6667;-3:00
ASW;0;Асуан;Aswan;Асуан;EG;24.0875;32.8989;+2:00
ASX;0;Эшланд;Ashland;Ешланд;US;37.6947;-122.114;
ATB;0;Атбара;Atbara;Атбара;SD;17.6972;33.9783;
ATC;0;Артурс-Таун;Arthurs Town;Артурс-Таун;BS;24.6286;-75.6714;-5:00
ATH;150;Афины;Athens;Афіны;GR;37.9833;23.7333;+2:00
ATI;0;Артигас;Artigas;Артігас;UY;-30.4;-56.4667;-2:00
ATK;0;Аткасук;Atqasuk;Аткасук;US;70.4692;-157.399;
ATL;44;Атланта;Atlanta;Атланта;US;33.749;-84.388;-5:00
ATM;0;Альтамира;Altamira;Альтаміра;BR;-15.4528;-47.6142;-3:00
ATN;0;Наматанаи;Namatanai;Наматанаї;PG;-3.66667;152.433;
ATO;0;Атенс;Athens;Атенс;US;39.3333;-82.1;-5:00
ATP;0;Аитапе;Aitape;Аїтапе;PG;-3.13333;142.35;
ATQ;0;Амритсар;Amritsar;Амрітсар;IN;31.6331;74.8656;+5:30
ATR;0;Атар;Atar;Атар;MR;20.4994;-13.0464;+0:00
ATS;0;Artesia;Artesia;Артесіа;US;33.8658;-118.083;
ATW;0;Аплтон;Appleton;Аплтон;US;44.2619;-88.4154;-6:00
ATX;0;Атбасар;Atbasar;Атбасар;KZ;51.8833;68.4;
ATY;0;Уотертаун;Watertown;Уотертаун;US;44.9089;-97.1542;-6:00
AUA;4;Аруба;Aruba;Аруба;AW;12.5;-69.9667;-4:00
AUC;0;Араука;Arauca;Араука;CO;7.09028;-70.7617;
AUF;0;Осер;Auxerre;Осер;FR;47.8;3.56667;
AUG;0;Аугуста;Augusta;Аугуста;US;44.3181;-69.7967;-5:00
AUH;24;Абу-Даби;Abu Dhabi;Абу-Дабі;AE;24.4667;54.3667;+4:00
AUI;0;Aua Island;Aua Island;Aua Island;PG;-1.45;143.067;
AUJ;0;Амбунти;Ambunti;Амбунті;PG;-4.23333;142.833;
AUK;0;Алаканук;Alakanuk;Алаканук;US;62.6889;-164.615;
AUO;0;Оберн;Auburn;Оберн;US;32.6099;-85.4808;-6:00
AUP;0;Агаун;Agaun;Агаун;PG;-9.98333;149.583;
AUQ;0;Атуона;Atuona;Атуона;PF;-9.8;-139.033;-9:30
AUR;0;Орийак;Aurillac;Орійак;FR;44.9167;2.45;+1:00
AUS;0;Остин;Austin;Остін;US;30.2672;-97.7431;-6:00
AUU;0;Aurukun Mission;Aurukun Mission;Aurukun Mission;AU;-13.1667;142.25;+10:00
AUW;0;Ваусау;Wausau;Ваусау;US;44.9591;-89.6301;-6:00
AUX;2;Арагуэйна;Araguaina;Арагуейна;BR;-7.19111;-48.2072;-3:00
AUZ;0;Аврора;Aurora;Аврора;US;39.7294;-104.832;-6:00
AVI;0;Сиего де Авила;Ciego De Avila;Сіего де Авіла;CU;21.84;-78.7619;-5:00
AVL;0;Эшвилль;Asheville;Ешвілль;US;35.6009;-82.554;-5:00
AVN;0;Авиньон;Avignon;Авіньон;FR;43.95;4.81667;+1:00
AVP;0;Скрантон;Scranton;Скрантон;US;41.409;-75.6624;-5:00
AVU;0;Avu Avu;Avu Avu;Avu Avu;SB;-9.83333;160.383;
AVX;0;о. Каталина;Catalina Island;о. Каталіна;US;55.5489;-133.291;-8:00
AWD;0;Анива;Aniwa;Аніва;VU;-19.25;169.5;
AWK;0;Wake Island;Wake Island;Wake Island;UM;19.2833;166.633;
AWN;0;Элтон-Даунс;Alton Downs;Елтон-Даунс;AU;-23.3;150.35;
AWZ;0;Ахваз;Ahwaz;Ахваз;IR;31.3292;48.6911;
AXA;0;Ангилья;Anguilla;Ангілья;AI;18.2167;-63.05;-4:00
AXD;0;Александруполис;Alexandroupolis;Олександруполіс;GR;40.8475;25.8744;+2:00
AXE;0;Xanxere;Xanxere;Xanxere;BR;-26.8769;-52.4042;
AXK;0;Ataq;Ataq;Ataq;YE;13.8667;46.3;
AXL;0;Александрия;Alexandria;Олександрія;AU;-19.0833;136.667;
AXM;0;Армения;Armenia;Арменія;CO;4.53389;-75.6811;-5:00
AXN;0;Александрия;Alexandria;Олександрія;US;45.8672;-95.3942;-6:00
AXP;0;Спринг-Пойнт;Spring Point;Спрінг-Пойнт;BS;22.45;-74;
AXR;0;Арутуа;Arutua;Арутуа;PF;-15.25;-146.75;
AXT;0;Акита;Akita;Акіта;JP;39.7167;140.117;+9:00
AXU;0;Axum;Axum;Axum;ET;14.1297;38.7158;
AXV;0;Вапаконета;Wapakoneta;Вапаконета;US;40.5678;-84.1936;-5:00
AYK;0;Аркалык;Arkalyk;;KZ;50.3167;66.9667;
AYP;0;Айякучо;Ayacucho;Айякучо;PE;-13.1583;-74.2239;-5:00
AYQ;0;Айерс-Рок;Ayers Rock;Айерс-Рок;AU;-25.3833;131.083;+9:30
AYR;0;Эйр Австралия;Ayr Au;Ейр Австралія;AU;-19.5967;147.324;+10:00
AYS;0;Вэйкросс;Waycross;Вейкросс;US;31.2136;-82.354;-5:00
AYT;150;Анталия;Antalya;Анталія;TR;36.9125;30.6897;+2:00
AZB;0;Амазон-Бей;Amazon Bay;Амазон-Бей;PG;-10.3;149.367;
AZD;0;Язд;Yazd;Язд;IR;31.8972;54.3675;+3:30
AZG;0;Апацинган;Apatzingan;Апацінган;MX;19.0833;-102.35;-6:00
AZN;0;АНДИЖАН;ANDIZHAN;Андіжан;RU;40.7833;72.3333;+5:00
AZO;0;Каламазу;Kalamazoo;Каламазу;US;42.2917;-85.5872;-5:00
AZR;0;Адрар;Adrar;Адрар;DZ;36.8167;4.3;
BAA;0;Биалла;Bialla;Біалла;PG;-5.31667;151.033;
BAG;0;Багуйо;Baguio;Багуйо;PH;16.4164;120.593;+8:00
BAH;4;Мухаррак;Muharraq;Мухаррак;BH;26.2708;50.6375;+3:00
BAJ;0;Бали;Bali;Балі;PG;-4.83333;149.133;
BAK;2;Баку;Baku;Баку;AZ;40.3953;49.8822;+4:00
BAP;0;Байбара;Baibara;Байбара;PG;-10.3333;149.75;
BAQ;0;Барранкуилла;Barranquilla;Барранкуїлла;CO;10.9639;-74.7964;-5:00
BAS;0;Балале;Balalae;Балале;SB;-6.98333;155.883;+11:00
BAT;0;Барретос;Barretos;Барретос;BR;-20.5572;-48.5678;-2:00
BAU;0;Бауру;Bauru;Бауру;BR;-22.3147;-49.0606;-2:00
BAV;0;Баоту;Baotou;Баоту;CN;40.6522;109.822;+8:00
BAX;1;Барнаул;Barnaul;Барнаул;RU;53.36;83.76;+7:00
BAY;0;Байя-Маре;Baia Mare;Байя-Маре;RO;47.6533;23.5795;+2:00
BBA;0;Балмаседа;Balmaceda;Балмаседа;CL;-45.9167;-71.6833;-3:00
BBC;0;Bay City;Bay City;Бей Сіті;US;43.5945;-83.8889;
BBF;0;Берлингтон;Burlington;Берлінгтон;US;36.0957;-79.4378;
BBG;0;Бутаритари;Butaritari;Бутарітарі;KI;3.08333;172.817;
BBH;0;Барт;Barth;Барт;DE;54.3635;12.7249;+1:00
BBI;0;Бхубанесвар;Bhubaneswar;Бхубанесвар;IN;20.2333;85.8333;+5:30
BBJ;0;Битбург;Bitburg;Бітбург;DE;49.9667;6.53333;+1:00
BBK;0;Касане;Kasane;Касане;BW;-17.8167;25.15;+2:00
BBN;0;Барио;Bario;Баріо;MY;3.75;115.45;+8:00
BBO;0;Бербера;Berbera;Бербера;SO;10.4356;45.0164;
BBQ;0;Барбуда;Barbuda;Барбуда;KN;17.5556;-61.765;
BBR;0;Бас Тера;Basse Terre;Бас Тера;GP;16;-61.7167;-4:00
BBS;0;Блэкбуш;BlackBushe;;GB;51.3333;-0.85;
BBW;0;Брокен-Боу;Broken Bow;Брокен-Боу;US;34.0293;-94.7391;-6:00
BBX;0;Блю-Белл;Blue Bell;Блю-Белл;US;40.1523;-75.2663;
BCA;0;Баракоа;Baracoa;Баракоа;CU;20.3467;-74.4958;
BCB;0;Блэксбург;Blacksburg;Блексбург;US;37.2296;-80.4139;-5:00
